months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
328,48,17-10-14,OH,250/500,1000,1406.91,0,466132,MALE,MD,craft-repair,sleeping,husband,25-01-15,Major Damage,Police,SC,Columbus,9935 4th Drive,5,YES,1,2,YES,71610,Y
228,42,27-06-06,IN,250/500,2000,1197.22,5000000,468176,MALE,MD,machine-op-inspct,reading,other-relative,21-01-15,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,?,0,0,?,5070,Y
134,29,06-09-00,OH,100/300,2000,1413.14,5000000,430632,FEMALE,PhD,sales,board-games,own-child,22-02-15,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,NO,2,3,NO,34650,N
256,41,25-05-90,IL,250/500,2000,1415.74,6000000,608117,FEMALE,PhD,armed-forces,board-games,unmarried,10-01-15,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,?,1,2,NO,63400,Y
228,44,06-06-14,IL,500/1000,1000,1583.91,6000000,610706,MALE,Associate,sales,board-games,unmarried,17-02-15,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,NO,0,1,NO,6500,N
256,39,12-10-06,OH,250/500,1000,1351.1,0,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,02-01-15,Major Damage,Fire,SC,Arlington,8973 Washington St,19,NO,0,2,NO,64100,Y
137,34,04-06-00,IN,250/500,1000,1333.35,0,441716,MALE,PhD,prof-specialty,board-games,husband,13-01-15,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,?,0,0,?,78650,N
165,37,03-02-90,IL,100/300,1000,1137.03,0,603195,MALE,Associate,tech-support,base-jumping,unmarried,27-02-15,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,?,2,2,YES,51590,N
27,33,05-02-97,IL,100/300,500,1442.99,0,601734,FEMALE,PhD,other-service,golf,own-child,30-01-15,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,NO,1,1,YES,27700,N
212,42,25-07-11,IL,100/300,500,1315.68,0,600983,MALE,PhD,priv-house-serv,camping,wife,05-01-15,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,NO,2,1,?,42300,N
235,42,26-05-02,OH,100/300,500,1253.12,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,06-01-15,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,YES,2,2,?,87010,N
447,61,29-05-99,OH,100/300,2000,1137.16,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,15-02-15,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,YES,1,2,YES,114920,N
60,23,20-11-97,OH,500/1000,500,1215.36,3000000,432220,MALE,MD,protective-serv,reading,wife,22-01-15,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,YES,1,0,NO,56520,N
121,34,26-10-12,OH,100/300,1000,936.61,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,08-01-15,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,NO,1,1,NO,7280,N
180,38,28-12-98,OH,250/500,2000,1301.13,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,15-01-15,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,NO,0,2,YES,46200,Y
473,58,19-10-92,IN,100/300,2000,1131.4,0,458733,FEMALE,MD,transport-moving,movies,other-relative,29-01-15,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,YES,0,0,NO,63120,Y
70,26,08-06-05,OH,500/1000,1000,1199.44,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,22-02-15,Major Damage,Other,NY,Riverwood,5074 3rd St,0,?,1,2,YES,52110,N
140,31,15-11-04,IN,500/1000,500,708.64,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,06-01-15,Total Loss,Police,WV,Northbend,4546 Tree St,9,NO,0,2,YES,77880,N
160,37,28-12-14,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,19-01-15,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,YES,1,0,NO,72930,N
196,39,02-08-92,IN,500/1000,2000,1475.73,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,22-02-15,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,?,2,0,NO,60400,N
460,62,25-06-02,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,01-01-15,Minor Damage,Police,NY,Columbus,5380 Pine St,20,NO,1,0,?,47160,N
217,41,27-11-05,IL,500/1000,2000,875.15,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,10-02-15,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,?,1,2,?,37840,N
370,55,27-05-94,IL,100/300,2000,972.18,0,443920,MALE,High School,prof-specialty,paintball,other-relative,11-01-15,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,NO,0,0,YES,71520,Y
413,55,08-02-91,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,chess,own-child,19-01-15,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,?,2,2,?,98160,Y
237,40,02-02-96,IN,100/300,1000,883.31,0,434733,MALE,College,craft-repair,kayaking,husband,24-02-15,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,NO,1,3,NO,77880,N
8,35,05-12-13,OH,100/300,2000,1266.92,0,613982,MALE,Masters,sales,polo,own-child,09-01-15,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,NO,1,3,YES,71500,Y
257,43,20-09-90,IN,100/300,2000,1322.1,0,436984,MALE,High School,prof-specialty,golf,own-child,28-01-15,Minor Damage,Police,PA,Arlington,2533 Elm St,4,YES,1,3,YES,9020,N
202,34,18-07-02,IN,100/300,500,848.07,3000000,607730,MALE,JD,exec-managerial,chess,not-in-family,07-01-15,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5,YES,2,1,?,5720,Y
224,40,08-02-90,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,sales,kayaking,not-in-family,08-01-15,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,NO,1,0,YES,69840,N
241,45,04-03-14,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,15-02-15,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,NO,2,2,NO,91650,N
64,25,18-02-00,IL,250/500,1000,954.16,0,473328,MALE,Masters,prof-specialty,video-games,husband,18-01-15,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,NO,0,0,?,75600,N
166,37,19-06-08,IL,100/300,2000,1337.28,8000000,610393,MALE,JD,craft-repair,reading,husband,28-02-15,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,NO,2,2,?,67140,Y
155,35,01-08-03,IL,500/1000,1000,1088.34,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,24-02-15,Total Loss,Police,NY,Arlington,6092 5th Ave,16,YES,2,3,NO,29790,N
114,30,04-04-92,IL,100/300,1000,1558.29,0,472248,MALE,High School,farming-fishing,video-games,wife,09-01-15,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,NO,1,2,?,77110,N
149,37,13-01-91,IL,500/1000,500,1415.68,0,603381,MALE,PhD,prof-specialty,yachting,own-child,12-02-15,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,YES,0,1,YES,64800,N
147,33,08-08-10,OH,100/300,1000,1334.15,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,24-01-15,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,YES,2,0,YES,53100,Y
62,28,09-03-03,IL,100/300,1000,988.45,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,09-01-15,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,?,1,1,YES,60200,Y
289,49,03-02-93,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,18-01-15,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,NO,1,1,YES,5330,N
431,54,25-11-02,IN,500/1000,2000,1155.55,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,21-01-15,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,?,2,0,?,62300,N
199,37,27-07-97,IN,250/500,500,1262.08,0,474615,MALE,JD,tech-support,video-games,wife,08-01-15,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,?,0,3,NO,60170,Y
79,26,08-05-95,IL,100/300,500,1451.62,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,03-01-15,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,NO,2,2,?,40000,N
116,34,30-08-12,IN,250/500,500,1737.66,0,470577,MALE,Associate,transport-moving,chess,unmarried,01-01-15,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,?,1,1,?,97080,Y
37,23,30-04-06,IL,500/1000,500,1475.93,0,441648,FEMALE,College,prof-specialty,hiking,husband,16-01-15,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,YES,1,0,NO,51660,N
106,30,13-04-03,OH,250/500,500,538.17,0,433782,FEMALE,PhD,transport-moving,reading,own-child,10-02-15,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,NO,2,2,NO,51120,N
269,44,05-12-07,IL,100/300,2000,1081.08,0,468104,MALE,JD,priv-house-serv,reading,unmarried,14-02-15,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,YES,0,2,?,56400,N
265,40,21-08-06,IL,250/500,1000,1454.43,0,459407,FEMALE,MD,protective-serv,yachting,husband,21-02-15,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,NO,2,3,?,55120,N
163,33,08-01-90,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,other-service,polo,husband,18-02-15,Total Loss,Fire,NC,Northbend,7476 4th St,11,YES,1,1,?,77110,N
355,47,18-03-90,OH,500/1000,2000,1273.7,4000000,433473,MALE,College,other-service,kayaking,husband,10-01-15,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,NO,2,1,NO,62800,Y
175,34,07-01-08,IN,500/1000,1000,1123.87,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,26-02-15,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,?,2,0,YES,7290,N
192,35,10-03-97,IL,100/300,1000,1245.89,0,435481,FEMALE,Masters,exec-managerial,movies,wife,01-01-15,Total Loss,Other,WV,Springfield,6011 Britain St,19,NO,0,0,?,76600,N
430,59,10-01-04,OH,250/500,2000,1326.62,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,03-01-15,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,?,0,3,YES,81800,N
91,27,20-08-94,IL,100/300,2000,1073.83,0,609930,FEMALE,JD,farming-fishing,polo,husband,17-01-15,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,?,1,2,?,7260,N
217,39,02-06-02,IN,100/300,1000,1530.52,0,603993,MALE,College,armed-forces,basketball,not-in-family,22-02-15,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,?,2,1,YES,4300,N
223,40,28-04-94,IN,100/300,500,1201.41,0,437818,FEMALE,JD,priv-house-serv,movies,husband,27-01-15,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,YES,1,0,?,70510,N
195,39,17-08-14,OH,250/500,1000,1393.57,0,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,27-02-15,Minor Damage,Police,VA,Northbend,5821 2nd St,5,NO,0,1,YES,2640,N
22,26,11-08-07,OH,100/300,1000,1276.57,0,467784,MALE,PhD,craft-repair,skydiving,not-in-family,06-01-15,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,YES,1,2,NO,78900,N
439,56,20-11-08,IN,250/500,500,1082.49,0,606714,FEMALE,PhD,prof-specialty,chess,unmarried,28-02-15,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,?,2,3,?,56430,N
94,32,18-10-95,IN,500/1000,1000,1414.74,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,22-02-15,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,NO,1,3,NO,2400,N
11,39,19-05-93,IL,250/500,2000,1470.06,0,431683,MALE,PhD,other-service,yachting,husband,07-01-15,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,YES,0,1,NO,65790,N
151,36,26-02-05,OH,250/500,2000,870.63,0,431725,FEMALE,MD,adm-clerical,kayaking,own-child,06-01-15,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,NO,1,1,NO,62920,N
154,34,14-02-90,IN,100/300,500,795.23,0,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,10-01-15,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,YES,2,1,?,69480,Y
245,44,30-09-93,IL,500/1000,1000,1168.2,0,452787,MALE,JD,handlers-cleaners,basketball,husband,11-02-15,Total Loss,Other,OH,Springfield,7459 Flute St,23,NO,0,3,NO,44280,N
119,32,10-06-14,IL,500/1000,1000,993.51,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,12-01-15,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,NO,0,3,YES,56300,N
215,42,28-10-08,OH,500/1000,500,1848.81,0,435489,MALE,JD,transport-moving,video-games,own-child,06-02-15,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,YES,2,2,YES,68520,Y
295,42,24-04-07,OH,250/500,2000,1641.73,5000000,450149,MALE,PhD,sales,chess,not-in-family,20-01-15,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,NO,0,0,NO,59130,Y
